# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.51075e-01  5.92759e-04  1.10351e-04 
  1.52326e-01  6.51962e-04  1.09707e-04 
  1.53576e-01  5.80221e-04  1.09188e-04 
  1.54827e-01  8.15801e-04  1.08775e-04 
  1.56078e-01  7.14935e-04  1.08451e-04 
  1.57328e-01  7.09404e-04  1.08197e-04 
  1.58579e-01  6.91277e-04  1.08001e-04 
  1.59830e-01  6.26954e-04  1.07849e-04 
  1.61080e-01  6.24808e-04  1.07728e-04 
  1.62331e-01  8.09750e-04  1.07630e-04 
  1.63581e-01  8.15172e-04  1.07546e-04 
  1.64832e-01  7.60321e-04  1.07469e-04 
  1.66083e-01  9.74197e-04  1.07393e-04 
  1.67333e-01  9.04586e-04  1.07315e-04 
  1.68584e-01  9.50461e-04  1.07230e-04 
  1.69835e-01  9.89028e-04  1.07135e-04 
  1.71085e-01  1.17005e-03  1.07030e-04 
  1.72336e-01  9.23810e-04  1.06911e-04 
  1.73586e-01  1.12175e-03  1.06779e-04 
  1.74837e-01  1.09738e-03  1.06631e-04 
  1.76088e-01  1.13136e-03  1.06468e-04 
  1.77338e-01  1.13082e-03  1.06287e-04 
  1.78589e-01  1.22616e-03  1.06090e-04 
  1.79840e-01  9.97552e-04  1.05874e-04 
  1.81090e-01  1.03331e-03  1.05640e-04 
  1.82341e-01  1.02191e-03  1.05385e-04 
  1.83591e-01  9.69456e-04  1.05111e-04 
  1.84842e-01  1.31642e-03  1.04815e-04 
  1.86093e-01  1.19900e-03  1.04497e-04 
  1.87343e-01  1.24216e-03  1.04156e-04 
  1.88594e-01  1.11503e-03  1.03792e-04 
  1.89845e-01  1.40785e-03  1.03404e-04 
  1.91095e-01  9.80333e-04  1.02993e-04 
  1.92346e-01  9.61926e-04  1.02558e-04 
  1.93596e-01  1.13023e-03  1.02099e-04 
  1.94847e-01  1.23954e-03  1.01618e-04 
  1.96098e-01  1.17231e-03  1.01114e-04 
  1.97348e-01  1.14263e-03  1.00589e-04 
  1.98599e-01  1.09659e-03  1.00045e-04 
  1.99850e-01  1.01180e-03  9.94827e-05 
