3.624299999999999744e-02	7.295645247999999583e+01	1.637502872666669873e+01
4.068929999999999769e-02	3.496757764333329987e+01	1.132330254166670080e+01
4.510000000000000120e-02	2.871506291000000033e+01	8.366418418333330109e+00
4.957960000000000145e-02	3.062621534000000167e+01	6.807088010000000189e+00
5.414959999999999912e-02	1.698840335499999910e+01	5.315930135000000334e+00
5.867460000000000037e-02	1.810732352000000134e+01	4.582343003333329889e+00
6.313670000000000393e-02	1.758858145166669829e+01	3.753068668333329860e+00
6.771770000000000567e-02	1.874808681500000063e+01	3.129801861666670071e+00
7.237100000000000477e-02	1.219239694000000007e+01	2.701832888333330018e+00
7.692330000000000001e-02	1.502033604000000011e+01	2.415586504999999828e+00
8.164470000000000061e-02	1.051882241166670084e+01	2.003147743333329789e+00
8.639470000000000482e-02	1.266539752666670005e+01	1.813845073333330005e+00
9.106759999999999855e-02	1.164225125833329955e+01	1.590423455000000041e+00
9.573710000000000553e-02	9.248378555000000389e+00	1.453449206666669991e+00
1.004952999999999957e-01	1.082198768499999986e+01	1.296534581666670016e+00
1.052397000000000055e-01	9.754544071666670035e+00	1.192202876666669908e+00
1.099886000000000058e-01	9.770793396666670461e+00	1.074958141666670031e+00
1.148422000000000054e-01	9.667035006666669261e+00	9.803857316666669819e-01
1.197769999999999946e-01	8.381104240000000871e+00	8.964596183333329860e-01
1.247698000000000002e-01	7.884219706666669936e+00	8.320707283333329540e-01
1.298370000000000080e-01	8.175124921666670375e+00	7.497416000000000080e-01
1.349077999999999944e-01	7.421197476666669957e+00	7.207336583333330271e-01
1.399244000000000043e-01	8.545903931666670061e+00	6.648524133333330033e-01
1.450733999999999913e-01	7.172791390000000433e+00	6.314494133333330428e-01
1.502658000000000049e-01	6.110795001666669890e+00	5.924928833333330536e-01
1.556062000000000001e-01	7.011488443333329990e+00	5.430119199999999813e-01
1.572456999999999883e-01	7.121472013333329798e+00	1.740741033333330079e-01
1.609471000000000096e-01	7.438929439999999893e+00	5.263131250000000483e-01
1.661874999999999880e-01	6.540084590000000198e+00	4.946959550000000205e-01
1.706292000000000086e-01	6.367655253333330378e+00	1.455746566666669961e-01
1.715615000000000057e-01	6.476111691666670112e+00	4.707941449999999972e-01
1.771270000000000067e-01	5.720913878333329983e+00	4.355610400000000104e-01
1.827315999999999940e-01	6.117868691666670244e+00	4.186226383333330192e-01
