Sample description: 
Sample:   c= 0 mg/ml  Code: 
 3.950000e-001  6.122500e-001  7.692000e-002
 4.000000e-001  5.959100e-001  1.565200e-001
 4.050000e-001  5.666900e-001  6.994000e-002
 4.100000e-001  5.565300e-001  6.130000e-002
 4.150000e-001  5.442700e-001  1.554500e-001
 4.200000e-001  5.265100e-001  9.274000e-002
 4.250000e-001  5.256300e-001  6.254000e-002
 4.300000e-001  4.624800e-001  8.497000e-002
 4.350000e-001  4.284500e-001  8.676000e-002
 4.400000e-001  4.521600e-001  1.237700e-001
 4.450000e-001  4.513300e-001  1.265700e-001
 4.500000e-001  4.210100e-001  8.735000e-002
 4.550000e-001  3.627200e-001  6.488000e-002
 4.600000e-001  3.677900e-001  7.398000e-002
 4.650000e-001  3.628500e-001  1.119200e-001
 4.700000e-001  4.131700e-001  8.629000e-002
 4.750000e-001  3.999100e-001  9.568000e-002
 4.800000e-001  3.771300e-001  6.427000e-002
 4.850000e-001  3.536400e-001  7.790000e-002
 4.900000e-001  3.231700e-001  8.366000e-002
 4.950000e-001  3.538500e-001  6.532000e-002
 5.012500e-001  3.721500e-001  5.718300e-001
 5.100000e-001  3.649200e-001  5.252000e-002
 5.200000e-001  3.553700e-001  4.516000e-002
 5.300000e-001  3.543300e-001  5.843000e-002
 5.400000e-001  3.738300e-001  5.478000e-002
 5.500000e-001  3.680700e-001  5.993000e-002
 5.600000e-001  3.614800e-001  7.896000e-002
 5.700000e-001  3.943800e-001  7.175000e-002
 5.800000e-001  3.827300e-001  7.138000e-002
 5.900000e-001  4.144800e-001  6.460000e-002
 6.000000e-001  3.891100e-001  5.717000e-002
 6.100000e-001  4.014200e-001  4.800000e-002
 6.200000e-001  4.072800e-001  8.371000e-002
 6.300000e-001  3.843300e-001  7.795000e-002
 6.400000e-001  4.021700e-001  5.374000e-002
 6.500000e-001  3.928800e-001  5.073000e-002
 6.600000e-001  3.769800e-001  7.594000e-002
 6.700000e-001  3.813100e-001  7.901000e-002
 6.800000e-001  3.249100e-001  1.329000e-001
 6.900000e-001  3.140500e-001  5.299000e-002
 7.000000e-001  3.111200e-001  5.161000e-002
 7.100000e-001  2.975400e-001  5.676000e-002
 7.200000e-001  2.711600e-001  7.498000e-002
 7.300000e-001  2.643100e-001  4.502000e-002
 7.400000e-001  2.412500e-001  4.446700e-001
 7.500000e-001  2.420800e-001  5.320000e-002
 7.600000e-001  2.115000e-001  6.328000e-002
 7.700000e-001  1.881900e-001  1.164500e-001
 7.800000e-001  2.061900e-001  5.544000e-002
 7.900000e-001  2.062800e-001  6.090000e-002
 8.000000e-001  1.848600e-001  5.907000e-002
 8.100000e-001  1.568100e-001  6.566000e-002
 8.200000e-001  1.775800e-001  5.940000e-002
 8.300000e-001  1.562100e-001  6.017000e-002
 8.400000e-001  1.665300e-001  5.425000e-002
 8.500000e-001  2.253900e-001  6.486000e-002
 8.600000e-001  2.040100e-001  6.756000e-002
 8.700000e-001  1.712800e-001  5.709000e-002
 8.800000e-001  1.661000e-001  4.983000e-002
 8.900000e-001  1.476200e-001  6.265000e-002
 9.000000e-001  1.845300e-001  5.693000e-002
 9.100000e-001  2.050100e-001  5.642000e-002
 9.200000e-001  1.549700e-001  7.707000e-002
 9.300000e-001  1.516900e-001  5.181000e-002
 9.400000e-001  1.694500e-001  6.233000e-002
 9.500000e-001  1.762100e-001  1.845800e-001
 9.600000e-001  1.870200e-001  5.573000e-002
 9.700000e-001  1.693000e-001  4.962000e-002
 9.800000e-001  2.039000e-001  6.904000e-002
 9.900000e-001  1.840700e-001  7.499000e-002
 1.005000e+000  1.808800e-001  5.511000e-002
 1.030000e+000  1.401000e-001  4.577000e-002
 1.060000e+000  1.776500e-001  4.881000e-002
 1.090000e+000  1.673100e-001  5.378000e-002
 1.120000e+000  1.758800e-001  8.431000e-002
 1.150000e+000  1.713800e-001  7.395000e-002
 1.180000e+000  1.691300e-001  9.544000e-002
 1.210000e+000  2.048900e-001  7.946000e-002
 1.240000e+000  2.149500e-001  8.299000e-002
 1.270000e+000  2.258300e-001  1.896400e-001
 1.300000e+000  2.606200e-001  9.649000e-002
 1.330000e+000  2.697800e-001  1.001400e-001
 1.360000e+000  3.458500e-001  1.108600e-001
 1.390000e+000  3.010900e-001  1.111300e-001
 1.420000e+000  3.299800e-001  1.016900e-001
 1.450000e+000  3.029400e-001  1.044900e-001
 1.480000e+000  2.799300e-001  1.024100e-001
 1.510000e+000  2.277400e-001  1.047700e-001
 1.540000e+000  2.208500e-001  1.076100e-001
 1.570000e+000  1.949600e-001  1.161600e-001
 1.600000e+000  1.707800e-001  2.640400e-001
 1.630000e+000  1.683100e-001  1.163800e-001
 1.660000e+000  1.305400e-001  1.454900e-001
 1.690000e+000  2.379000e-002  1.292800e-001
 1.720000e+000  5.983000e-002  1.357800e-001
range-from: 1
range-to: 222
transmitted beam intensity from WAXS (q~1.74): 1907.740982
